country,year,week,year_week,age_group,new_cases
Austria,2021,01,2021-01,65-79yr,1568
Austria,2021,02,2021-02,65-79yr,1192
Austria,2021,03,2021-03,65-79yr,942
Austria,2021,04,2021-04,65-79yr,933
Austria,2021,05,2021-05,65-79yr,834
Austria,2021,06,2021-06,65-79yr,796
Austria,2021,07,2021-07,65-79yr,924
Austria,2021,08,2021-08,65-79yr,1067
Austria,2021,09,2021-09,65-79yr,1197
Austria,2021,10,2021-10,65-79yr,1275
Austria,2021,11,2021-11,65-79yr,1539
Austria,2021,12,2021-12,65-79yr,1747
Austria,2021,13,2021-13,65-79yr,1692
Austria,2021,14,2021-14,65-79yr,1434
Austria,2021,15,2021-15,65-79yr,1271
Austria,2021,16,2021-16,65-79yr,1041
Austria,2021,17,2021-17,65-79yr,758
Austria,2021,18,2021-18,65-79yr,535
Austria,2021,19,2021-19,65-79yr,324
Austria,2021,20,2021-20,65-79yr,209
Austria,2021,21,2021-21,65-79yr,127
Austria,2021,22,2021-22,65-79yr,109
Austria,2021,23,2021-23,65-79yr,59
Austria,2021,24,2021-24,65-79yr,45
Austria,2021,25,2021-25,65-79yr,20
Austria,2021,26,2021-26,65-79yr,20
Austria,2021,27,2021-27,65-79yr,26
Austria,2021,28,2021-28,65-79yr,57
Austria,2021,29,2021-29,65-79yr,54
Austria,2021,30,2021-30,65-79yr,92
Austria,2021,31,2021-31,65-79yr,114
Austria,2021,32,2021-32,65-79yr,182
Austria,2021,33,2021-33,65-79yr,244
Austria,2021,34,2021-34,65-79yr,295
Austria,2021,35,2021-35,65-79yr,487
Austria,2021,36,2021-36,65-79yr,610
Austria,2021,37,2021-37,65-79yr,659
Austria,2021,38,2021-38,65-79yr,606
Austria,2021,39,2021-39,65-79yr,644
Austria,2021,40,2021-40,65-79yr,776
Austria,2021,41,2021-41,65-79yr,1136
Austria,2021,42,2021-42,65-79yr,2070
Austria,2021,43,2021-43,65-79yr,3043
Austria,2021,44,2021-44,65-79yr,4749
