country,year,week,year_week,age_group,new_cases
Austria,2021,01,2021-01,25-49yr,5523
Austria,2021,02,2021-02,25-49yr,4109
Austria,2021,03,2021-03,25-49yr,3893
Austria,2021,04,2021-04,25-49yr,3644
Austria,2021,05,2021-05,25-49yr,3587
Austria,2021,06,2021-06,25-49yr,3700
Austria,2021,07,2021-07,25-49yr,4562
Austria,2021,08,2021-08,25-49yr,5604
Austria,2021,09,2021-09,25-49yr,6413
Austria,2021,10,2021-10,25-49yr,7143
Austria,2021,11,2021-11,25-49yr,8346
Austria,2021,12,2021-12,25-49yr,8762
Austria,2021,13,2021-13,25-49yr,8435
Austria,2021,14,2021-14,25-49yr,7183
Austria,2021,15,2021-15,25-49yr,6648
Austria,2021,16,2021-16,25-49yr,6122
Austria,2021,17,2021-17,25-49yr,5031
Austria,2021,18,2021-18,25-49yr,3550
Austria,2021,19,2021-19,25-49yr,2302
Austria,2021,20,2021-20,25-49yr,1677
Austria,2021,21,2021-21,25-49yr,1225
Austria,2021,22,2021-22,25-49yr,964
Austria,2021,23,2021-23,25-49yr,686
Austria,2021,24,2021-24,25-49yr,408
Austria,2021,25,2021-25,25-49yr,263
Austria,2021,26,2021-26,25-49yr,241
Austria,2021,27,2021-27,25-49yr,396
Austria,2021,28,2021-28,25-49yr,820
Austria,2021,29,2021-29,25-49yr,1014
Austria,2021,30,2021-30,25-49yr,1331
Austria,2021,31,2021-31,25-49yr,1547
Austria,2021,32,2021-32,25-49yr,2497
Austria,2021,33,2021-33,25-49yr,3438
Austria,2021,34,2021-34,25-49yr,4093
Austria,2021,35,2021-35,25-49yr,4690
Austria,2021,36,2021-36,25-49yr,5528
Austria,2021,37,2021-37,25-49yr,5253
Austria,2021,38,2021-38,25-49yr,4532
Austria,2021,39,2021-39,25-49yr,4863
Austria,2021,40,2021-40,25-49yr,4914
Austria,2021,41,2021-41,25-49yr,5698
Austria,2021,42,2021-42,25-49yr,8579
Austria,2021,43,2021-43,25-49yr,13414
Austria,2021,44,2021-44,25-49yr,21882
Austria,2021,45,2021-45,25-49yr,31180
Austria,2021,46,2021-46,25-49yr,37676
Austria,2021,47,2021-47,25-49yr,32400
Austria,2021,48,2021-48,25-49yr,20452
Austria,2021,49,2021-49,25-49yr,12322
Austria,2021,50,2021-50,25-49yr,8034
Austria,2021,51,2021-51,25-49yr,6428
Austria,2021,52,2021-52,25-49yr,10608
Belgium,2021,01,2021-01,25-49yr,5359
Belgium,2021,02,2021-02,25-49yr,5180
Belgium,2021,03,2021-03,25-49yr,5508
Belgium,2021,04,2021-04,25-49yr,5918
Belgium,2021,05,2021-05,25-49yr,5490
Belgium,2021,06,2021-06,25-49yr,4718
Belgium,2021,07,2021-07,25-49yr,6071
Belgium,2021,08,2021-08,25-49yr,6561
Belgium,2021,09,2021-09,25-49yr,6363
Belgium,2021,10,2021-10,25-49yr,8173
Belgium,2021,11,2021-11,25-49yr,11023
Belgium,2021,12,2021-12,25-49yr,13080
Belgium,2021,13,2021-13,25-49yr,11615
Belgium,2021,14,2021-14,25-49yr,9566
Belgium,2021,15,2021-15,25-49yr,9656
Belgium,2021,16,2021-16,25-49yr,9324
Belgium,2021,17,2021-17,25-49yr,7854
Belgium,2021,18,2021-18,25-49yr,8146
Belgium,2021,19,2021-19,25-49yr,5805
Belgium,2021,20,2021-20,25-49yr,6808
Belgium,2021,21,2021-21,25-49yr,4901
Belgium,2021,22,2021-22,25-49yr,3678
Belgium,2021,23,2021-23,25-49yr,2209
Belgium,2021,24,2021-24,25-49yr,1306
Belgium,2021,25,2021-25,25-49yr,1086
Belgium,2021,26,2021-26,25-49yr,1528
Belgium,2021,27,2021-27,25-49yr,2560
