country,year,week,year_week,age_group,new_cases
Austria,2021,01,2021-01,50-64yr,3460
Austria,2021,02,2021-02,50-64yr,2540
Austria,2021,03,2021-03,50-64yr,2346
Austria,2021,04,2021-04,50-64yr,2218
Austria,2021,05,2021-05,50-64yr,2127
Austria,2021,06,2021-06,50-64yr,2172
Austria,2021,07,2021-07,50-64yr,2439
Austria,2021,08,2021-08,50-64yr,2923
Austria,2021,09,2021-09,50-64yr,3312
Austria,2021,10,2021-10,50-64yr,3719
Austria,2021,11,2021-11,50-64yr,4355
Austria,2021,12,2021-12,50-64yr,4629
Austria,2021,13,2021-13,50-64yr,4463
Austria,2021,14,2021-14,50-64yr,3701
Austria,2021,15,2021-15,50-64yr,3309
Austria,2021,16,2021-16,50-64yr,2906
Austria,2021,17,2021-17,50-64yr,2380
Austria,2021,18,2021-18,50-64yr,1738
Austria,2021,19,2021-19,50-64yr,1064
Austria,2021,20,2021-20,50-64yr,692
Austria,2021,21,2021-21,50-64yr,561
Austria,2021,22,2021-22,50-64yr,347
Austria,2021,23,2021-23,50-64yr,233
Austria,2021,24,2021-24,50-64yr,116
Austria,2021,25,2021-25,50-64yr,62
Austria,2021,26,2021-26,50-64yr,69
Austria,2021,27,2021-27,50-64yr,100
Austria,2021,28,2021-28,50-64yr,194
Austria,2021,29,2021-29,50-64yr,264
Austria,2021,30,2021-30,50-64yr,296
Austria,2021,31,2021-31,50-64yr,387
Austria,2021,32,2021-32,50-64yr,663
Austria,2021,33,2021-33,50-64yr,1015
Austria,2021,34,2021-34,50-64yr,1262
Austria,2021,35,2021-35,50-64yr,1499
Austria,2021,36,2021-36,50-64yr,1937
Austria,2021,37,2021-37,50-64yr,1837
Austria,2021,38,2021-38,50-64yr,1643
Austria,2021,39,2021-39,50-64yr,1775
Austria,2021,40,2021-40,50-64yr,1931
Austria,2021,41,2021-41,50-64yr,2562
Austria,2021,42,2021-42,50-64yr,4276
Austria,2021,43,2021-43,50-64yr,6446
Austria,2021,44,2021-44,50-64yr,10602
Austria,2021,45,2021-45,50-64yr,14655
Austria,2021,46,2021-46,50-64yr,17402
Austria,2021,47,2021-47,50-64yr,14828
Austria,2021,48,2021-48,50-64yr,9010
Austria,2021,49,2021-49,50-64yr,5082
Austria,2021,50,2021-50,50-64yr,3322
Austria,2021,51,2021-51,50-64yr,2474
Austria,2021,52,2021-52,50-64yr,3801
Belgium,2021,01,2021-01,50-64yr,2622
Belgium,2021,02,2021-02,50-64yr,2626
Belgium,2021,03,2021-03,50-64yr,2640
Belgium,2021,04,2021-04,50-64yr,2827
Belgium,2021,05,2021-05,50-64yr,2580
Belgium,2021,06,2021-06,50-64yr,2257
Belgium,2021,07,2021-07,50-64yr,2961
Belgium,2021,08,2021-08,50-64yr,3072
Belgium,2021,09,2021-09,50-64yr,3009
Belgium,2021,10,2021-10,50-64yr,3737
Belgium,2021,11,2021-11,50-64yr,4847
Belgium,2021,12,2021-12,50-64yr,5698
Belgium,2021,13,2021-13,50-64yr,5801
Belgium,2021,14,2021-14,50-64yr,4995
Belgium,2021,15,2021-15,50-64yr,4700
Belgium,2021,16,2021-16,50-64yr,4660
Belgium,2021,17,2021-17,50-64yr,3715
Belgium,2021,18,2021-18,50-64yr,3565
Belgium,2021,19,2021-19,50-64yr,2523
Belgium,2021,20,2021-20,50-64yr,2705
Belgium,2021,21,2021-21,50-64yr,1869
Belgium,2021,22,2021-22,50-64yr,1407
Belgium,2021,23,2021-23,50-64yr,781
Belgium,2021,24,2021-24,50-64yr,414
Belgium,2021,25,2021-25,50-64yr,319
Belgium,2021,26,2021-26,50-64yr,340
Belgium,2021,27,2021-27,50-64yr,597
Belgium,2021,28,2021-28,50-64yr,892
Belgium,2021,29,2021-29,50-64yr,996
Belgium,2021,30,2021-30,50-64yr,1033
Belgium,2021,31,2021-31,50-64yr,1218
Belgium,2021,32,2021-32,50-64yr,1502
Belgium,2021,33,2021-33,50-64yr,1520
Belgium,2021,34,2021-34,50-64yr,1680
Belgium,2021,35,2021-35,50-64yr,1680
Belgium,2021,36,2021-36,50-64yr,1606
Belgium,2021,37,2021-37,50-64yr,1628
Belgium,2021,38,2021-38,50-64yr,1656
Belgium,2021,39,2021-39,50-64yr,1723
Belgium,2021,40,2021-40,50-64yr,2164
Belgium,2021,41,2021-41,50-64yr,3188
Belgium,2021,42,2021-42,50-64yr,6046
Belgium,2021,43,2021-43,50-64yr,8674
Belgium,2021,44,2021-44,50-64yr,10254
Belgium,2021,45,2021-45,50-64yr,13754
Belgium,2021,46,2021-46,50-64yr,21569
Belgium,2021,47,2021-47,50-64yr,22143
Belgium,2021,48,2021-48,50-64yr,19423
Belgium,2021,49,2021-49,50-64yr,14020
Belgium,2021,50,2021-50,50-64yr,9491
Belgium,2021,51,2021-51,50-64yr,7151
Belgium,2021,52,2021-52,50-64yr,13663
Cyprus,2021,01,2021-01,50-64yr,670
Cyprus,2021,02,2021-02,50-64yr,317
Cyprus,2021,03,2021-03,50-64yr,201
Cyprus,2021,04,2021-04,50-64yr,153
Cyprus,2021,05,2021-05,50-64yr,161
Cyprus,2021,06,2021-06,50-64yr,143
Cyprus,2021,07,2021-07,50-64yr,129
Cyprus,2021,08,2021-08,50-64yr,223
Cyprus,2021,09,2021-09,50-64yr,355
Cyprus,2021,10,2021-10,50-64yr,546
Cyprus,2021,11,2021-11,50-64yr,479
Cyprus,2021,12,2021-12,50-64yr,442
Cyprus,2021,13,2021-13,50-64yr,551
Cyprus,2021,14,2021-14,50-64yr,660
Cyprus,2021,15,2021-15,50-64yr,796
Cyprus,2021,16,2021-16,50-64yr,1023
Cyprus,2021,17,2021-17,50-64yr,690
Cyprus,2021,18,2021-18,50-64yr,494
Cyprus,2021,19,2021-19,50-64yr,231
Cyprus,2021,20,2021-20,50-64yr,126
Cyprus,2021,21,2021-21,50-64yr,56
Cyprus,2021,22,2021-22,50-64yr,42
Cyprus,2021,23,2021-23,50-64yr,43
Cyprus,2021,24,2021-24,50-64yr,61
Cyprus,2021,25,2021-25,50-64yr,113
Cyprus,2021,26,2021-26,50-64yr,231
Cyprus,2021,27,2021-27,50-64yr,598
Cyprus,2021,28,2021-28,50-64yr,833
Cyprus,2021,29,2021-29,50-64yr,758
Cyprus,2021,30,2021-30,50-64yr,543
Cyprus,2021,31,2021-31,50-64yr,370
Cyprus,2021,32,2021-32,50-64yr,359
Cyprus,2021,33,2021-33,50-64yr,269
